item_id,title,description,image
101,Wireless Mouse,Ergonomic wireless mouse with USB receiver,https://via.placeholder.com/300x180?text=Wireless+Mouse
102,Mechanical Keyboard,RGB backlit mechanical keyboard,https://via.placeholder.com/300x180?text=Mechanical+Keyboard
103,Noise Cancelling Headphones,Over-ear Bluetooth headphones,https://via.placeholder.com/300x180?text=Headphones
104,Smartwatch,Fitness tracking smartwatch with heart rate sensor,https://via.placeholder.com/300x180?text=Smartwatch
105,Portable Charger,10000mAh fast-charging power bank,https://via.placeholder.com/300x180?text=Power+Bank
106,Webcam HD,1080p USB webcam with microphone,https://via.placeholder.com/300x180?text=Webcam
107,USB-C Hub,6-in-1 USB-C hub with HDMI and Ethernet,https://via.placeholder.com/300x180?text=USB-C+Hub
108,Bluetooth Speaker,Portable Bluetooth speaker with bass boost,https://via.placeholder.com/300x180?text=Speaker
109,Smart Light Bulb,WiFi-enabled color smart bulb,https://via.placeholder.com/300x180?text=Smart+Bulb
110,VR Headset,Lightweight VR headset for mobile,https://via.placeholder.com/300x180?text=VR+Headset
111,Laptop Stand,Aluminum adjustable laptop stand,https://via.placeholder.com/300x180?text=Laptop+Stand
112,Noise Isolating Earbuds,In-ear earbuds with mic and case,https://via.placeholder.com/300x180?text=Earbuds
113,Portable SSD,USB 3.1 1TB portable SSD,https://via.placeholder.com/300x180?text=Portable+SSD
114,Action Camera,Waterproof 4K action camera,https://via.placeholder.com/300x180?text=Action+Cam
115,Smart Thermostat,WiFi-enabled programmable thermostat,https://via.placeholder.com/300x180?text=Thermostat
